rank,amount
3507,75.0
3508,75.0
3509,250.0
3510,1000.0
3511,1000.0
3512,2500.0
3513,50.0
3514,10.0
3515,50.0
3516,1000.0
3517,1000.0
3518,2500.0
3519,2500.0
3520,100.0
3521,2285.69
3522,2500.0
3523,500.0
3524,240.0
3525,1000.0
3526,1000.0
3527,2500.0
3528,250.0
3529,25.0
3530,2000.0
3531,500.0
3532,2500.0
3533,2500.0
3534,100.0
3535,150.0
3536,1000.0
3537,2500.0
3538,250.0
3539,250.0
3540,1000.0
3541,100.0
3542,2500.0
3543,2500.0
3544,1000.0
3545,500.0
3546,2500.0
3547,35.0
3548,25.0
3549,25.0
3550,100.0
3551,500.0
3552,250.0
3553,2500.0
3554,2500.0
3555,200.0
3556,100.0
3557,1000.0
3558,2500.0
3559,2500.0
3560,500.0
3561,500.0
3562,250.0
3563,200.0
3564,200.0
3565,1000.0
3566,2500.0
3567,100.0
3568,200.0
3569,50.0
3570,1250.0
3571,500.0
3572,500.0
3573,2500.0
3574,2500.0
3575,50.0
3576,50.0
3577,500.0
3578,500.0
3579,500.0
3580,2500.0
3581,2500.0
3582,500.0
3583,2500.0
3584,500.0
3585,2500.0
3586,2500.0
3587,2500.0
3588,1000.0
3589,2500.0
3590,2200.0
3591,250.0
3592,100.0
3593,150.0
3594,250.0
3595,500.0
3596,2500.0
3597,2000.0
3598,35.0
3599,35.0
3600,2500.0
3601,1500.0
3602,1500.0
3603,250.0
3604,250.0
3605,1000.0
3606,2500.0
3607,1000.0
3608,2500.0
3609,250.0
3610,300.0
3611,200.0
3612,50.0
3613,1000.0
3614,5000.0
3615,500.0
3616,1000.0
3617,2500.0
3618,2500.0
3619,500.0
3620,250.0
3621,2500.0
3622,250.0
3623,1000.0
3624,100.0
3625,100.0
3626,2500.0
3627,100.0
3628,20.0
3629,20.0
3630,20.0
3631,20.0
3632,20.0
3633,20.0
3634,500.0
3635,100.0
3636,2500.0
3637,2500.0
3638,2500.0
3639,2500.0
3640,2000.0
3641,2500.0
3642,1500.0
3643,250.0
3644,2500.0
3645,250.0
3646,1000.0
3647,100.0
3648,100.0
3649,2500.0
3650,100.0
3651,2500.0
3652,40.0
3653,100.0
3654,2500.0
3655,2500.0
3656,250.0
3657,250.0
3658,2500.0
3659,2500.0
3660,53.0
3661,200.0
3662,200.0
3663,250.0
3664,100.0
3665,1000.0
3666,30.0
3667,50.0
3668,50.0
3669,50.0
3670,50.0
3671,2500.0
3672,2500.0
3673,2500.0
3674,50.0
3675,50.0
3676,500.0
3677,2500.0
3678,500.0
3679,500.0
3680,50.0
3681,2500.0
3682,1000.0
3683,1000.0
3684,1000.0
3685,150.0
3686,35.0
3687,35.0
3688,35.0
3689,100.0
3690,500.0
3691,1000.0
3692,1000.0
3693,250.0
3694,2500.0
3695,2500.0
3696,1750.0
3697,1750.0
3698,2500.0
3699,50.0
3700,55.0
3701,50.0
3702,1000.0
3703,1000.0
3704,200.0
3705,2500.0
3706,100.0
3707,1000.0
3708,2500.0
3709,2500.0
3710,2500.0
3711,1000.0
3712,50.0
3713,50.0
3714,1000.0
3715,2500.0
3716,35.0
3717,250.0
3718,35.0
3719,35.0
3720,100.0
3721,100.0
3722,2500.0
3723,2000.0
3724,655.45
3725,1500.0
3726,1000.0
3727,100.0
3728,100.0
3729,100.0
3730,100.0
3731,250.0
3732,1500.0
3733,110.0
3734,1000.0
3735,1500.0
3736,500.0
3737,500.0
3738,500.0
3739,1000.0
3740,500.0
3741,1500.0
3742,100.0
3743,2500.0
3744,1000.0
3745,2000.0
3746,500.0
3747,25.0
3748,50.0
3749,50.0
3750,1000.0
3751,50.0
3752,500.0
3753,500.0
3754,10.0
3755,25.0
3756,25.0
3757,25.0
3758,25.0
3759,25.0
3760,25.0
3761,25.0
3762,25.0
3763,2500.0
3764,1000.0
3765,1000.0
3766,100.0
3767,2500.0
3768,2500.0
3769,2500.0
3770,500.0
3771,199.0
3772,100.0
3773,100.0
3774,100.0
3775,125.0
3776,75.0
3777,50.0
3778,2500.0
3779,2500.0
3780,500.0
3781,250.0
3782,500.0
3783,100.0
3784,100.0
3785,200.0
3786,100.0
3787,2500.0
3788,1000.0
3789,250.0
3790,2500.0
3791,2500.0
3792,2500.0
3793,2500.0
3794,2500.0
3795,100.0
3796,100.0
3797,500.0
3798,100.0
3799,100.0
3800,250.0
3801,1000.0
3802,500.0
3803,5.0
3804,50.0
3805,250.0
3806,500.0
3807,2500.0
3808,2500.0
3809,300.0
3810,2500.0
3811,100.0
3812,10.0
3813,25.0
3814,1000.0
3815,250.0
3816,250.0
3817,2500.0
3818,2500.0
3819,10.0
3820,100.0
3821,1000.0
3822,500.0
3823,500.0
3824,500.0
3825,500.0
3826,100.0
3827,100.0
3828,50.0
3829,100.0
3830,2500.0
3831,500.0
3832,50.0
3833,50.0
3834,53.0
3835,75.0
3836,500.0
3837,2500.0
3838,250.0
3839,250.0
3840,2500.0
3841,2500.0
3842,50.0
3843,100.0
3844,100.0
3845,2500.0
3846,500.0
3847,2500.0
3848,2500.0
3849,500.0
3850,3000.0
3851,2500.0
3853,1000.0
3854,100.0
3855,100.0
3856,200.0
3857,25.0
3858,25.0
3859,250.0
3860,2500.0
3861,2500.0
3862,2500.0
3863,2500.0
3864,2500.0
3865,50.0
3866,500.0
3867,500.0
3868,1500.0
3869,2500.0
3870,1000.0
3871,2500.0
3872,250.0
3873,2500.0
3874,10.0
3875,10.0
3876,5.0
3877,60.0
3878,60.0
3879,55.0
3880,100.0
3881,50.0
3882,2500.0
3883,500.0
3884,500.0
3885,250.0
3886,1000.0
3887,1000.0
3888,2500.0
3889,250.0
3890,2500.0
3891,250.0
3892,100.0
3893,54.0
3894,25.0
3895,250.0
3896,1000.0
3897,2000.0
3898,2500.0
3899,500.0
3900,10.0
3901,30.0
3902,1000.0
3903,1000.0
3904,2500.0
3905,60.0
3906,48.0
3907,66.0
3908,500.0
3909,200.0
3910,1000.0
3911,250.0
3912,1000.0
3913,2500.0
3914,5000.0
3915,1000.0
3916,200.0
3917,100.0
3918,250.0
3919,500.0
3920,500.0
3921,500.0
3922,1000.0
3923,1000.0
3924,250.0
3925,100.0
3926,100.0
3927,250.0
3928,2500.0
3929,100.0
3930,100.0
3931,500.0
3932,200.0
3933,100.0
3934,2500.0
3935,2500.0
3936,5000.0
3937,180.0
3938,250.0
3939,500.0
3940,1000.0
3941,10.0
3942,25.0
3943,25.0
3944,147.0
3945,5.0
3946,25.0
3947,100.0
3948,2500.0
3949,25.0
3950,100.0
3951,38.0
3952,35.0
3953,38.0
3954,38.0
3955,38.0
3956,38.0
3957,2500.0
3958,500.0
3959,1010.0
3960,2500.0
3961,2500.0
3962,500.0
3963,2500.0
3964,50.0
3965,2500.0
3966,2500.0
3967,50.0
3968,50.0
3969,500.0
3970,5.0
3971,250.0
3972,2500.0
3973,2500.0
3974,500.0
3975,500.0
3976,3.0
3977,25.0
3978,25.0
3979,2000.0
3980,2500.0
3981,2500.0
3982,150.0
3983,50.0
3984,50.0
3985,50.0
3986,100.0
3987,100.0
3988,100.0
3989,300.0
3990,100.0
3991,1300.0
3992,2500.0
3993,55.0
3994,1000.0
3995,2500.0
3996,250.0
3997,2500.0
3998,2500.0
3999,2500.0
4000,2500.0
4001,1000.0
4002,500.0
4003,100.0
4004,100.0
4005,100.0
4006,1000.0
4007,1000.0
4008,1000.0
4009,250.0
4010,250.0
4011,250.0
4012,100.0
4013,100.0
4014,118.0
4015,1000.0
4016,150.0
4017,300.0
4018,2500.0
4019,1000.0
4020,500.0
4021,500.0
4022,2000.0
4023,2500.0
4024,50.0
4025,25.0
4026,25.0
4027,25.0
4028,1000.0
4029,1250.0
4030,1000.0
4031,500.0
4032,1250.0
4033,2500.0
4034,2500.0
4035,2500.0
4036,2500.0
4037,1000.0
4038,100.0
4039,100.0
4040,400.0
4041,50.0
4042,100.0
4043,75.0
4044,100.0
4045,100.0
4046,250.0
4047,250.0
4048,2500.0
4049,2500.0
4050,2500.0
4051,25.0
4052,25.0
4053,25.0
4054,2500.0
4055,35.0
4056,35.0
4057,53.0
4058,250.0
4059,250.0
4060,20.0
4061,100.0
4062,20.0
4063,50.0
4064,2500.0
4065,55.0
4066,40.0
4067,40.0
4068,40.0
4069,2000.0
4070,250.0
4071,2500.0
4072,2500.0
4073,2500.0
4074,2500.0
4075,2500.0
4076,2000.0
4077,500.0
4078,2500.0
4079,1000.0
4080,1500.0
4081,500.0
4082,2500.0
4083,2500.0
4084,250.0
4085,250.0
4086,250.0
4087,2500.0
4088,2500.0
